,Method,Percent Edge Cutoff,MaxRes,Presistent threshold,Number of Nodes,Number of Edges,MedianDepth,MaxBreadth,Avg Leaf size,Number of genes below level one of the hierarchy,Avg number of child per level one node,"Number of Significant Systems (CC) with FDR <= 0.01, JI >= 0.2",Frac of Significant Systems (CC),"Number of Significant small Systems (CC) with FDR <= 0.01, JI >= 0.2","Number of Significant large Systems (CC) with FDR <= 0.01, JI >= 0.2",Number of components enriched in CORUM,Ratio of Enriched Systems (CORUM),"Number of Significant Systems (CORUM) with FDR <= 0.01, JI >= 0.2",Ratio of Significant Systems (CORUM),Number of Significant Systems (HCM) with FDR <= 0.01,Frac of Significant Systems (HCM),Number of unique edges in HCM enriched systems (size < 80),"Number of Significant Systems (DepMap) with FDR <= 0.01, size < 80",Frac of Significant Systems (DepMap),Number of unique edges in DepMap enriched systems (size < 80),Number of Significant Systems (BIOPLEX) with FDR <= 0.01,Frac of Significant Systems (BIOPLEX),Number of unique edges in BIOPLEX enriched systems (size < 80),Number of Significant Systems (PCNET) with FDR <= 0.01,Frac of Significant Systems (PCNET),Number of unique edges in PCNET enriched systems (size < 80),Number of Significant Systems (OPENCELL) with FDR <= 0.01,Frac of Significant Systems (OPENCELL),Number of unique edges in OPENCELL enriched systems (size < 80)
38,U2OS_5183_MUSE_256_MUSE_batch_all,1,40,15,160,163,3.0,47,36.758620689655174,4969,3.3,20,0.125,11,9,58,0.3625,6,0.0375,14,0.0875,243,22,0.1375,3960,52,0.325,1666,44,0.275,6937,25,0.15625,638
63,U2OS_5183_MUSE_256_MUSE_batch_all,1,40,5,266,296,4.0,59,25.9625,5098,2.0833333333333335,27,0.10150375939849623,15,12,72,0.2706766917293233,7,0.02631578947368421,18,0.06766917293233082,235,24,0.09022556390977443,4019,74,0.2781954887218045,2009,64,0.24060150375939848,8740,29,0.10902255639097744,802
6,U2OS_5183_MUSE_256_MUSE_batch_all,10,20,10,48,47,2.0,20,129.73333333333332,2063,0.7142857142857143,13,0.2708333333333333,8,5,35,0.7291666666666666,4,0.08333333333333333,4,0.08333333333333333,38,8,0.16666666666666666,2217,18,0.375,1283,18,0.375,4678,9,0.1875,589
47,U2OS_5183_MUSE_256_MUSE_batch_all,10,20,15,37,36,1.0,23,174.53846153846155,1181,0.4583333333333333,11,0.2972972972972973,7,4,27,0.7297297297297297,3,0.08108108108108109,2,0.05405405405405406,27,6,0.16216216216216217,970,10,0.2702702702702703,879,10,0.2702702702702703,2777,8,0.21621621621621623,460
67,U2OS_5183_MUSE_256_MUSE_batch_all,10,20,5,52,54,3.0,11,143.56666666666666,3768,1.25,21,0.40384615384615385,10,11,40,0.7692307692307693,4,0.07692307692307693,4,0.07692307692307693,38,7,0.1346153846153846,2105,18,0.34615384615384615,1311,18,0.34615384615384615,4749,8,0.15384615384615385,568
35,U2OS_5183_MUSE_256_MUSE_batch_all,10,40,10,56,55,2.0,24,119.6774193548387,1977,0.84,15,0.26785714285714285,11,4,38,0.6785714285714286,3,0.05357142857142857,6,0.10714285714285714,38,9,0.16071428571428573,1940,23,0.4107142857142857,1009,22,0.39285714285714285,3437,10,0.17857142857142858,437
44,U2OS_5183_MUSE_256_MUSE_batch_all,10,40,15,38,37,1.0,25,174.07407407407408,772,0.34615384615384615,14,0.3684210526315789,11,3,27,0.7105263157894737,4,0.10526315789473684,5,0.13157894736842105,45,7,0.18421052631578946,942,14,0.3684210526315789,888,14,0.3684210526315789,3080,10,0.2631578947368421,600
61,U2OS_5183_MUSE_256_MUSE_batch_all,10,40,5,66,69,3.0,12,103.52941176470588,3261,1.0769230769230769,21,0.3181818181818182,13,8,44,0.6666666666666666,5,0.07575757575757576,6,0.09090909090909091,37,9,0.13636363636363635,826,26,0.3939393939393939,1030,26,0.3939393939393939,3378,10,0.15151515151515152,407
40,U2OS_5183_MUSE_256_MUSE_batch_all,2,20,10,109,111,4.0,42,56.82608695652174,5161,2.6,20,0.1834862385321101,11,9,46,0.42201834862385323,4,0.03669724770642202,10,0.09174311926605505,172,17,0.1559633027522936,2719,30,0.27522935779816515,1118,29,0.26605504587155965,4609,12,0.11009174311926606,204
41,U2OS_5183_MUSE_256_MUSE_batch_all,2,20,15,69,69,3.0,40,78.54,5152,5.0,16,0.2318840579710145,9,7,36,0.5217391304347826,4,0.057971014492753624,4,0.057971014492753624,56,10,0.14492753623188406,2523,17,0.2463768115942029,1039,16,0.2318840579710145,3991,7,0.10144927536231885,133
